Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library,Keyword
150,EGFR transactivation by gastrin,0.008965773496317424,131.39473684210526,619.439581424405,['EGFR'],0.021062933244378895,0,0,BioPlanet_2019,EGFR
151,Interleukin-5 regulation of apoptosis,0.00898447152514467,15.522691705790297,73.14692162054195,"['BCL2', 'RAF1']",0.021062933244378895,0,0,BioPlanet_2019,apoptosis
20,DNA-methyltransferase activity (GO:0009008),0.0059856908667451705,210.26315789473685,1076.2074808846232,['MGMT'],0.022141106540663653,0,0,GO_Molecular_Function_2021,RAS
152,Cell cycle,0.009880084358162667,7.658823529411765,35.36258215374221,"['TOP2A', 'TUBB', 'TP53']",0.02288873804566697,0,0,BioPlanet_2019,cell cycle
22,S-methyltransferase activity (GO:0008172),0.006979995894180786,175.21052631578948,869.8689177892479,['MGMT'],0.023064334259032163,0,0,GO_Molecular_Function_2021,RAS
160,Telomerase protein component gene hTERT transcriptional regulation,0.010947779702855981,105.10526315789474,474.5101770765117,['TP53'],0.024221962592568858,0,0,BioPlanet_2019,RAS
158,BTG family proteins and cell cycle regulation,0.010947779702855981,105.10526315789474,474.5101770765117,['TP53'],0.024221962592568858,0,0,BioPlanet_2019,cell cycle
159,Signaling by VEGF,0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.024221962592568858,0,0,BioPlanet_2019,VEGF
183,positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),0.006979995894180786,175.21052631578948,869.8689177892479,['TP53'],0.024281475078692733,0,0,GO_Biological_Process_2021,RAS
178,regulation of blood-brain barrier permeability (GO:1905603),0.006979995894180786,175.21052631578948,869.8689177892479,['VEGFA'],0.024281475078692733,0,0,GO_Biological_Process_2021,brain
197,positive regulation of execution phase of apoptosis (GO:1900119),0.0079733565142536,150.17293233082708,725.5830081396662,['TP53'],0.025436952001570024,0,0,GO_Biological_Process_2021,apoptosis
195,forebrain neuron differentiation (GO:0021879),0.0079733565142536,150.17293233082708,725.5830081396662,['ERBB4'],0.025436952001570024,0,0,GO_Biological_Process_2021,brain
207,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589),0.008965773496317424,131.39473684210526,619.439581424405,['VEGFA'],0.027146369752738868,0,0,GO_Biological_Process_2021,angiogenesis
223,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0,GO_Biological_Process_2021,p53
225,DNA dealkylation involved in DNA repair (GO:0006307),0.009957247624386196,116.78947368421052,538.3357753631753,['MGMT'],0.02894239976154921,0,0,GO_Biological_Process_2021,DNA repair
217,regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0,GO_Biological_Process_2021,RAS
221,negative regulation of telomerase activity (GO:0051974),0.009957247624386196,116.78947368421052,538.3357753631753,['TP53'],0.02894239976154921,0,0,GO_Biological_Process_2021,RAS
63,VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399,0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.030081299576502223,0,0,Reactome_2022,EGFR
64,Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303,0.0079733565142536,150.17293233082708,725.5830081396662,['EGFR'],0.030081299576502223,0,0,Reactome_2022,EGFR
66,EGFR Transactivation By Gastrin R-HSA-2179392,0.0079733565142536,150.17293233082708,725.5830081396662,['EGFR'],0.030081299576502223,0,0,Reactome_2022,EGFR
62,Gain-of-function MRAS Complexes Activate RAF Signaling R-HSA-9726842,0.0079733565142536,150.17293233082708,725.5830081396662,['BRAF'],0.030081299576502223,0,0,Reactome_2022,RAS
67,RNA Polymerase II Transcription R-HSA-73857,0.008154732284497954,4.762305534302474,22.902674386072242,"['KIT', 'ERBB2', 'TP53', 'EGFR', 'VEGFA']",0.030306393117014784,0,0,Reactome_2022,RAS
231,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440),0.010947779702855981,105.10526315789474,474.5101770765117,['TP53'],0.03072896105436829,0,0,GO_Biological_Process_2021,RAS
226,angiogenesis involved in wound healing (GO:0060055),0.010947779702855981,105.10526315789474,474.5101770765117,['VEGFA'],0.03072896105436829,0,0,GO_Biological_Process_2021,angiogenesis
68,PI5P Regulates TP53 Acetylation R-HSA-6811555,0.008965773496317424,131.39473684210526,619.439581424405,['TP53'],0.031006633341431094,0,0,Reactome_2022,p53
72,EGFR Interacts With Phospholipase C-gamma R-HSA-212718,0.008965773496317424,131.39473684210526,619.439581424405,['EGFR'],0.031006633341431094,0,0,Reactome_2022,EGFR
178,Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp,0.015886337864689626,70.05263157894737,290.1787210723924,['TP53'],0.0314176737659225,0,0,BioPlanet_2019,cell cycle
179,PI3K subunit p85 role in regulation of actin organization and cell migration,0.015886337864689626,70.05263157894737,290.1787210723924,['PDGFRA'],0.0314176737659225,0,0,BioPlanet_2019,PI3K
74,PI3K Events In ERBB4 Signaling R-HSA-1250342,0.009957247624386196,116.78947368421052,538.3357753631753,['ERBB4'],0.03305806211296217,0,0,Reactome_2022,PI3K
250,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166),0.01292602095289387,87.57894736842105,380.83817987374294,['BCL2'],0.03328195946138815,0,0,GO_Biological_Process_2021,p53
194,Cell cycle progression regulation by PLK3,0.018838220672014273,58.36842105263158,231.83163218032678,['TP53'],0.034198615989195144,0,0,BioPlanet_2019,cell cycle
191,PTEN-dependent cell cycle arrest and apoptosis,0.018838220672014273,58.36842105263158,231.83163218032678,['EGFR'],0.034198615989195144,0,0,BioPlanet_2019,cell cycle
193,Signaling by constitutively active EGFR,0.018838220672014273,58.36842105263158,231.83163218032678,['EGFR'],0.034198615989195144,0,0,BioPlanet_2019,EGFR
263,regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165),0.013913731760820029,80.83805668016194,345.57291333057793,['BCL2'],0.03420894951720413,0,0,GO_Biological_Process_2021,p53
257,positive regulation of cardiac muscle cell proliferation (GO:0060045),0.013913731760820029,80.83805668016194,345.57291333057793,['ERBB4'],0.03420894951720413,0,0,GO_Biological_Process_2021,cell proliferation
78,Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,0.010947779702855981,105.10526315789474,474.5101770765117,['PDGFRA'],0.034948681359117176,0,0,Reactome_2022,PDGF
273,positive regulation of sprouting angiogenesis (GO:1903672),0.014900503788898576,75.06015037593986,315.7300332957057,['VEGFA'],0.03518025082288689,0,0,GO_Biological_Process_2021,angiogenesis
82,TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03624884468955185,0,0,Reactome_2022,p53
81,GRB2 Events In EGFR Signaling R-HSA-179812,0.011937370540334344,95.54545454545455,423.0830518492731,['EGFR'],0.03624884468955185,0,0,Reactome_2022,EGFR
80,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,0.011937370540334344,95.54545454545455,423.0830518492731,['TP53'],0.03624884468955185,0,0,Reactome_2022,p53
280,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587),0.015886337864689626,70.05263157894737,290.1787210723924,['VEGFA'],0.0367125970441944,0,0,GO_Biological_Process_2021,angiogenesis
289,negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254),0.016871234817272356,65.67105263157895,268.0787715603985,['BCL2'],0.037276309359784196,0,0,GO_Biological_Process_2021,p53
84,SHC1 Events In EGFR Signaling R-HSA-180336,0.01292602095289387,87.57894736842105,380.83817987374294,['EGFR'],0.03742533973570434,0,0,Reactome_2022,EGFR
89,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,0.013913731760820029,80.83805668016194,345.57291333057793,['TP53'],0.03761988926961109,0,0,Reactome_2022,apoptosis
87,Apoptosis R-HSA-109581,0.013470378493855123,12.502525252525253,53.85165429885327,"['BCL2', 'TP53']",0.03761988926961109,0,0,Reactome_2022,apoptosis
92,Constitutive Signaling By EGFRvIII R-HSA-5637810,0.013913731760820029,80.83805668016194,345.57291333057793,['EGFR'],0.03761988926961109,0,0,Reactome_2022,EGFR
91,Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759,0.013913731760820029,80.83805668016194,345.57291333057793,['TP53'],0.03761988926961109,0,0,Reactome_2022,p53
88,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,0.013913731760820029,80.83805668016194,345.57291333057793,['TP53'],0.03761988926961109,0,0,Reactome_2022,cell cycle
