Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
37,positive regulation of cell motility (GO:2000147),2.132214618047154e-06,30.5,398.27965644385375,"['PDGFRB', 'PDGFRA', 'KIT', 'EGFR', 'VEGFA']",3.768833405953618e-05,0,0
38,regulation of peptidyl-serine phosphorylation (GO:0033135),2.4723104128667384e-06,52.888297872340424,682.8068307027887,"['BRAF', 'RAF1', 'EGFR', 'VEGFA']",4.254976342144334e-05,0,0
39,positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552),2.756870805011792e-06,140.85882352941175,1803.1921560828853,"['PDGFRB', 'PDGFRA', 'KIT']",4.560116514184221e-05,0,0
40,positive regulation of protein localization to membrane (GO:1905477),2.7890620881860675e-06,51.24484536082474,655.4115890417039,"['ERBB2', 'BCL2', 'TP53', 'EGFR']",4.560116514184221e-05,0,0
41,regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),3.3825932613832113e-06,48.720588235294116,613.726814280676,"['PDGFRB', 'PDGFRA', 'KIT', 'EGFR']",5.3134203711921135e-05,0,0
42,positive regulation of lipid kinase activity (GO:0090218),3.412288311774752e-06,130.41176470588235,1641.6399128222724,"['PDGFRB', 'PDGFRA', 'KIT']",5.3134203711921135e-05,0,0
43,ERBB2 signaling pathway (GO:0038128),4.163402862130293e-06,121.40567951318458,1504.116552133639,"['ERBB4', 'ERBB2', 'EGFR']",6.332245283333051e-05,0,0
44,regulation of phosphatidylinositol 3-kinase activity (GO:0043551),5.48336156497629e-06,110.00735294117646,1332.6062162903233,"['PDGFRB', 'PDGFRA', 'KIT']",8.099130525498977e-05,0,0
45,positive regulation of cell migration (GO:0030335),5.572796233141498e-06,24.893939393939394,301.15726010007256,"['PDGFRB', 'PDGFRA', 'KIT', 'EGFR', 'VEGFA']",8.099130525498977e-05,0,0
46,regulation of cell motility (GO:2000145),8.336957436974452e-06,38.47093023255814,449.9103051471999,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",0.00011852978616915852,0,0
47,positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),8.587970710364753e-06,38.17307692307692,445.29459530078253,"['ERBB4', 'KIT', 'TP53', 'VEGFA']",0.00011950069882082017,0,0
48,retina vasculature development in camera-type eye (GO:0061298),9.482777500558207e-06,739.8888888888889,8557.579526684436,"['PDGFRB', 'PDGFRA']",0.00012920284344510556,0,0
49,regulation of nitric oxide mediated signal transduction (GO:0010749),1.4215693891863761e-05,554.8888888888889,6193.205890662571,"['EGFR', 'VEGFA']",0.0001897359960261,0,0
50,DNA ligation (GO:0006266),1.9890100471240717e-05,443.8888888888889,4805.225245888672,"['TOP2A', 'MGMT']",0.00026016251416382857,0,0
51,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),2.6822618659232392e-05,62.785714285714285,660.8990697100259,"['ERBB4', 'KIT', 'VEGFA']",0.0003439606392772154,0,0
52,DNA topological change (GO:0006265),3.405659800132413e-05,317.031746031746,3261.459893047559,"['TOP2A', 'TOP2B']",0.0004283272133243458,0,0
53,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),4.1113387043807226e-05,54.067873303167424,546.0410101028511,"['ERBB4', 'KIT', 'VEGFA']",0.0005073236816349043,0,0
54,lactation (GO:0007595),4.2545300346497585e-05,277.3888888888889,2791.9028448786567,"['ERBB4', 'VEGFA']",0.0005152708597520263,0,0
55,wound healing (GO:0042060),4.484955367711733e-05,52.4486391571554,525.1261034781696,"['PDGFRA', 'ERBB2', 'RAF1']",0.0005333019655424496,0,0
56,phosphatidylinositol-mediated signaling (GO:0048015),4.679837745971946e-05,51.674740484429066,515.1796978751444,"['PDGFRB', 'PDGFRA', 'ERBB2']",0.0005465381939045808,0,0
57,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),5.196871583395421e-05,246.55555555555554,2432.2381677726335,"['TP53', 'EGFR']",0.0005962726343053693,0,0
58,positive regulation of protein modification process (GO:0031401),5.397673271175955e-05,23.535714285714285,231.284463546243,"['ERBB4', 'ERBB2', 'EGFR', 'VEGFA']",0.0006086341929912198,0,0
59,regulation of cell growth (GO:0001558),5.6980207530266585e-05,23.200704225352112,226.73599507055837,"['ERBB2', 'BCL2', 'TP53', 'EGFR']",0.0006254239802732157,0,0
60,positive regulation of growth (GO:0045927),5.737834681405649e-05,48.12328767123287,469.96449894267244,"['ERBB2', 'BCL2', 'EGFR']",0.0006254239802732157,0,0
61,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),5.9666458152070285e-05,47.470588235294116,461.7340948301653,"['PDGFRB', 'PDGFRA', 'KIT']",0.0006397026824828519,0,0
62,ovarian follicle development (GO:0001541),8.583035665856277e-05,184.88888888888889,1731.1401456194585,"['KIT', 'VEGFA']",0.0009053718266887106,0,0
