Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
347,regulation of protein export from nucleus (GO:0046825),0.02276098349039011,47.74641148325359,180.61070687273846,['TP53'],0.04289822248621075,0,0
348,positive regulation of cell-substrate junction organization (GO:0150117),0.023739343866497245,45.66819221967963,170.827422984315,['VEGFA'],0.04361104182216067,0,0
349,apoptotic nuclear changes (GO:0030262),0.023739343866497245,45.66819221967963,170.827422984315,['TOP2A'],0.04361104182216067,0,0
350,regulation of axon extension involved in axon guidance (GO:0048841),0.023739343866497245,45.66819221967963,170.827422984315,['VEGFA'],0.04361104182216067,0,0
351,response to gamma radiation (GO:0010332),0.023739343866497245,45.66819221967963,170.827422984315,['TP53'],0.04361104182216067,0,0
352,cardiac muscle cell differentiation (GO:0055007),0.023739343866497245,45.66819221967963,170.827422984315,['VEGFA'],0.04361104182216067,0,0
353,positive regulation of p38MAPK cascade (GO:1900745),0.023739343866497245,45.66819221967963,170.827422984315,['VEGFA'],0.04361104182216067,0,0
354,positive regulation of protein targeting to membrane (GO:0090314),0.023739343866497245,45.66819221967963,170.827422984315,['ERBB2'],0.04361104182216067,0,0
355,regulation of monooxygenase activity (GO:0032768),0.023739343866497245,45.66819221967963,170.827422984315,['EGFR'],0.04361104182216067,0,0
356,DNA packaging (GO:0006323),0.023739343866497245,45.66819221967963,170.827422984315,['TP53'],0.04361104182216067,0,0
357,regulation of calcium ion import (GO:0090279),0.02471677377849272,43.76315789473684,161.93563879493826,['PDGFRB'],0.04495570553383657,0,0
358,in utero embryonic development (GO:0001701),0.02471677377849272,43.76315789473684,161.93563879493826,['VEGFA'],0.04495570553383657,0,0
359,positive regulation of release of cytochrome c from mitochondria (GO:0090200),0.02471677377849272,43.76315789473684,161.93563879493826,['TP53'],0.04495570553383657,0,0
360,positive regulation of DNA-binding transcription factor activity (GO:0051091),0.024746259926882515,8.987249544626593,33.24456327292995,"['KIT', 'VEGFA']",0.04495570553383657,0,0
361,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),0.025693274055310834,42.01052631578948,153.82263569148483,['EGFR'],0.04603671570458434,0,0
362,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230),0.025693274055310834,42.01052631578948,153.82263569148483,['BCL2'],0.04603671570458434,0,0
363,cellular response to drug (GO:0035690),0.025693274055310834,42.01052631578948,153.82263569148483,['TP53'],0.04603671570458434,0,0
364,lamellipodium assembly (GO:0030032),0.025693274055310834,42.01052631578948,153.82263569148483,['KIT'],0.04603671570458434,0,0
365,mononuclear cell differentiation (GO:1903131),0.025693274055310834,42.01052631578948,153.82263569148483,['VEGFA'],0.04603671570458434,0,0
366,negative regulation of catalytic activity (GO:0043086),0.02666884553614584,40.392712550607285,146.39366123411943,['TP53'],0.046885551023224135,0,0
367,positive regulation of cellular component movement (GO:0051272),0.02666884553614584,40.392712550607285,146.39366123411943,['VEGFA'],0.046885551023224135,0,0
368,regulation of vasculature development (GO:1901342),0.02666884553614584,40.392712550607285,146.39366123411943,['ERBB2'],0.046885551023224135,0,0
369,camera-type eye development (GO:0043010),0.02666884553614584,40.392712550607285,146.39366123411943,['VEGFA'],0.046885551023224135,0,0
370,cellular response to cadmium ion (GO:0071276),0.02666884553614584,40.392712550607285,146.39366123411943,['EGFR'],0.046885551023224135,0,0
371,positive regulation of nuclear division (GO:0051785),0.02666884553614584,40.392712550607285,146.39366123411943,['PDGFRB'],0.046885551023224135,0,0
372,entrainment of circadian clock by photoperiod (GO:0043153),0.02666884553614584,40.392712550607285,146.39366123411943,['TP53'],0.046885551023224135,0,0
373,positive regulation of fibroblast proliferation (GO:0048146),0.02764348904824574,38.89473684210526,139.56851455439977,['PDGFRA'],0.04808202616370403,0,0
374,cellular response to acid chemical (GO:0071229),0.02764348904824574,38.89473684210526,139.56851455439977,['VEGFA'],0.04808202616370403,0,0
375,regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239),0.02764348904824574,38.89473684210526,139.56851455439977,['BCL2'],0.04808202616370403,0,0
376,photoperiodism (GO:0009648),0.02764348904824574,38.89473684210526,139.56851455439977,['TP53'],0.04808202616370403,0,0
377,regulation of protein targeting to membrane (GO:0090313),0.028617205427454835,37.50375939849624,133.2788782141628,['ERBB2'],0.048865933027559955,0,0
378,response to cadmium ion (GO:0046686),0.028617205427454835,37.50375939849624,133.2788782141628,['EGFR'],0.048865933027559955,0,0
379,positive regulation of leukocyte migration (GO:0002687),0.028617205427454835,37.50375939849624,133.2788782141628,['VEGFA'],0.048865933027559955,0,0
380,regulation of DNA biosynthetic process (GO:2000278),0.028617205427454835,37.50375939849624,133.2788782141628,['PDGFRB'],0.048865933027559955,0,0
381,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059),0.028617205427454835,37.50375939849624,133.2788782141628,['BCL2'],0.048865933027559955,0,0
382,lamellipodium organization (GO:0097581),0.028617205427454835,37.50375939849624,133.2788782141628,['KIT'],0.048865933027559955,0,0
383,negative regulation of transferase activity (GO:0051348),0.028617205427454835,37.50375939849624,133.2788782141628,['TP53'],0.048865933027559955,0,0
384,positive regulation of B cell proliferation (GO:0030890),0.02958999550324173,36.208711433756804,127.46621354176987,['BCL2'],0.049875920255464154,0,0
385,extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625),0.02958999550324173,36.208711433756804,127.46621354176987,['BCL2'],0.049875920255464154,0,0
386,respiratory tube development (GO:0030323),0.02958999550324173,36.208711433756804,127.46621354176987,['VEGFA'],0.049875920255464154,0,0
387,negative regulation of Notch signaling pathway (GO:0045746),0.02958999550324173,36.208711433756804,127.46621354176987,['EGFR'],0.049875920255464154,0,0
388,positive regulation of phosphate metabolic process (GO:0045937),0.02958999550324173,36.208711433756804,127.46621354176987,['EGFR'],0.049875920255464154,0,0
