Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
45,Estrogen signaling pathway,0.0003291166829116823,26.136084284460054,209.58782672203765,"['BCL2', 'RAF1', 'EGFR']",0.0008995855999585983,0,0
46,Fluid shear stress and atherosclerosis,0.0003434136113101654,25.749134948096884,205.3899054134363,"['BCL2', 'TP53', 'VEGFA']",0.0009182581345902248,0,0
47,Apoptosis,0.00036560164660306976,25.189589504866696,199.34956030006714,"['BCL2', 'RAF1', 'TP53']",0.0009567872879186719,0,0
48,Alzheimer disease,0.0004370638013590532,13.434931506849315,103.92499069895248,"['TUBB3', 'TUBB', 'BRAF', 'RAF1']",0.0011199759909825738,0,0
49,Thyroid cancer,0.0006195695304718364,63.317460317460316,467.69351055771176,"['BRAF', 'TP53']",0.0015552459642456302,0,0
50,Kaposi sarcoma-associated herpesvirus infection,0.0008936113232019103,18.38080495356037,129.03765552888265,"['RAF1', 'TP53', 'VEGFA']",0.002198283855076699,0,0
51,VEGF signaling pathway,0.0015708812917978867,38.83625730994152,250.73147869740146,"['RAF1', 'VEGFA']",0.0037885960566890206,0,0
52,Long-term depression,0.0016240769248208164,38.16475095785441,245.12516052672734,"['BRAF', 'RAF1']",0.003841566572172316,0,0
53,Shigellosis,0.0017950683835049228,14.333333333333334,90.62554097587316,"['BCL2', 'TP53', 'EGFR']",0.004165913418322746,0,0
54,Parkinson disease,0.0018582659430686833,14.15638450502152,89.01692441369535,"['TUBB3', 'TUBB', 'TP53']",0.004232716870323111,0,0
55,Long-term potentiation,0.0020202359976765082,34.042735042735046,211.21954341363585,"['BRAF', 'RAF1']",0.004517982322076555,0,0
56,Adherens junction,0.002265165629135075,32.06280193236715,195.26590722566357,"['ERBB2', 'EGFR']",0.0049752745068502545,0,0
57,p53 signaling pathway,0.0023926495225994084,31.156494522691705,188.04047198052453,"['BCL2', 'TP53']",0.005163085811925039,0,0
58,Huntington disease,0.0033333840353597494,11.460104834012814,65.3657707961294,"['TUBB3', 'TUBB', 'TP53']",0.007069073040504296,0,0
59,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.003531335428959874,25.406130268199234,143.44502292528725,"['RAF1', 'EGFR']",0.007361936572238383,0,0
60,Small cell lung cancer,0.0037680465442261175,24.555555555555557,137.04943154835937,"['BCL2', 'TP53']",0.0077244954156635405,0,0
61,GnRH signaling pathway,0.003848558413636332,24.284493284493283,135.02315810678772,"['RAF1', 'EGFR']",0.007760207948807685,0,0
62,AGE-RAGE signaling pathway in diabetic complications,0.004434499847536051,22.541950113378686,122.13995997533476,"['BCL2', 'VEGFA']",0.008657833035665622,0,0
63,Progesterone-mediated oocyte maturation,0.004434499847536051,22.541950113378686,122.13995997533476,"['BRAF', 'RAF1']",0.008657833035665622,0,0
64,Melanogenesis,0.0045213816583109445,22.31313131313131,120.46720485255871,"['KIT', 'RAF1']",0.008689530374566346,0,0
65,Serotonergic synapse,0.005625111821885011,19.88888888888889,103.03467631601124,"['BRAF', 'RAF1']",0.010644442370643943,0,0
66,Thyroid hormone signaling pathway,0.006422814330741102,18.54435107376284,93.61000916507308,"['RAF1', 'TP53']",0.01196979034365387,0,0
67,Natural killer cell mediated cytotoxicity,0.00748823341082939,17.098191214470283,83.68576954910893,"['BRAF', 'RAF1']",0.013747055366149476,0,0
68,Vascular smooth muscle contraction,0.007710305981795836,16.835453774385073,81.90780602926974,"['BRAF', 'RAF1']",0.013946582878836586,0,0
69,Autophagy,0.008163347244468235,16.333333333333332,78.53231621226735,"['BCL2', 'RAF1']",0.014344167300994184,0,0
70,Insulin signaling pathway,0.008163347244468235,16.333333333333332,78.53231621226735,"['BRAF', 'RAF1']",0.014344167300994184,0,0
71,Measles,0.008394292914981142,16.093268450932683,76.9290936521396,"['BCL2', 'TP53']",0.01454222575412226,0,0
72,Phagosome,0.009966464288455889,14.688888888888888,67.69417619445412,"['TUBB3', 'TUBB']",0.01695242881658549,0,0
73,mTOR signaling pathway,0.010219143029655308,14.494152046783626,66.43383792509559,"['BRAF', 'RAF1']",0.01695242881658549,0,0
74,Oxytocin signaling pathway,0.010219143029655308,14.494152046783626,66.43383792509559,"['RAF1', 'EGFR']",0.01695242881658549,0,0
75,Cushing syndrome,0.010346551736963104,14.398692810457517,65.81789321952054,"['BRAF', 'EGFR']",0.01695242881658549,0,0
76,Cellular senescence,0.01047467146390648,14.304473304473305,65.21116391701504,"['RAF1', 'TP53']",0.01695242881658549,0,0
77,Tuberculosis,0.01375923714046898,12.36079900124844,52.9789393756764,"['BCL2', 'RAF1']",0.021979041146463436,0,0
78,Alcoholism,0.014642007150812004,11.954106280193237,50.49247947405065,"['BRAF', 'RAF1']",0.02308931896858816,0,0
79,Chemokine signaling pathway,0.015548841682792162,11.573099415204679,48.18771411798436,"['BRAF', 'RAF1']",0.024208956037765014,0,0
80,Pathogenic Escherichia coli infection,0.016322710900516662,11.273504273504274,46.39270036949823,"['TUBB3', 'TUBB']",0.02509616800954437,0,0
81,Epstein-Barr virus infection,0.017112924345878768,10.988888888888889,44.701935078328205,"['BCL2', 'TP53']",0.025986292525223317,0,0
82,Human immunodeficiency virus 1 infection,0.018741724429248638,10.46031746031746,41.6007137926925,"['BCL2', 'RAF1']",0.028112586643872957,0,0
83,Lipid and atherosclerosis,0.019242788347178488,10.311424100156495,40.736507139702006,"['BCL2', 'TP53']",0.028423355077062215,0,0
84,cAMP signaling pathway,0.01941107175994493,10.262720664589823,40.454738317058315,"['BRAF', 'RAF1']",0.028423355077062215,0,0
85,Endocytosis,0.02587819829062754,8.768888888888888,32.04462795378348,"['PDGFRA', 'EGFR']",0.037447275173496324,0,0
86,Prion disease,0.03000366708266979,8.080770807708078,28.334702990747093,"['TUBB3', 'TUBB']",0.04291222152521377,0,0
