Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
15,Melanocyte development and pigmentation pathway,2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['KIT', 'BCL2', 'RAF1']",5.734443194717231e-06,0,0,BioPlanet_2019
16,ERBB2 Regulates Cell Motility R-HSA-6785631,3.860766238294748e-07,293.6470588235294,4336.353650553984,"['ERBB4', 'ERBB2', 'EGFR']",6.008317458346202e-06,0,0,Reactome_2022
15,GRB2 Events In ERBB2 Signaling R-HSA-1963640,3.860766238294748e-07,293.6470588235294,4336.353650553984,"['ERBB4', 'ERBB2', 'EGFR']",6.008317458346202e-06,0,0,Reactome_2022
16,SHP2 signaling,2.775436134392947e-07,93.99528301886792,1419.0738349313747,"['PDGFRB', 'RAF1', 'EGFR', 'VEGFA']",6.1406524473443955e-06,0,0,BioPlanet_2019
17,PI3K Events In ERBB2 Signaling R-HSA-1963642,4.7486963850838756e-07,271.0452488687783,3946.479948522122,"['ERBB4', 'ERBB2', 'EGFR']",6.9554435287405e-06,0,0,Reactome_2022
17,Integrated breast cancer pathway,3.356049053084071e-07,44.97278911564626,670.4242644001763,"['BCL2', 'BRAF', 'TP53', 'EGFR', 'VEGFA']",6.988478616422124e-06,0,0,BioPlanet_2019
18,Colorectal cancer,3.9070339827831715e-07,85.87068965517241,1267.049258635036,"['BCL2', 'BRAF', 'RAF1', 'TP53']",7.683833499473572e-06,0,0,BioPlanet_2019
19,MAPK signaling pathway,4.5973029791256796e-07,27.37291280148423,399.44267434261275,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",8.565501340055214e-06,0,0,BioPlanet_2019
20,Calcium signaling pathway,7.343062544159905e-07,38.163776493256265,539.0381417083969,"['PDGFRB', 'PDGFRA', 'ERBB4', 'ERBB2', 'EGFR']",1.2997220703163032e-05,0,0,BioPlanet_2019
5,protein heterodimerization activity (GO:0046982),9.61965910292604e-07,36.060109289617486,499.5870969741141,"['TOP2A', 'TOP2B', 'ERBB2', 'BCL2', 'TP53']",1.462188183644758e-05,0,0,GO_Molecular_Function_2021
19,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,1.1242376339211233e-06,195.7058823529412,2680.8585177409204,"['ERBB4', 'ERBB2', 'EGFR']",1.4733430044545248e-05,0,0,Reactome_2022
18,SHC1 Events In ERBB2 Signaling R-HSA-1250196,1.1242376339211233e-06,195.7058823529412,2680.8585177409204,"['ERBB4', 'ERBB2', 'EGFR']",1.4733430044545248e-05,0,0,Reactome_2022
